numero_questao,enunciado,alternativas,gabarito,nu_param_B,ano,enunciado_limpo,alternativas_limpo
121,"O dióxido de carbono passa para o estado sólido, 
abre parêntese, gelo seco, fecha parêntese, a menos 
78 graus Celsius e retorna ao estado gasoso à 
temperatura ambiente. O gás é facilmente solubilizado 
em água, capaz de absorver radiação infravermelha 
da superfície da Terra e não conduz eletricidade. Ele 
é utilizado como matéria-prima para a fotossíntese até 
o limite de saturação. Após a fixação pelos organismos 
autotróficos, o gás retorna ao meio ambiente pela 
respiração aeróbica, fermentação, decomposição ou por 
resíduos industriais, queima de combustíveis fósseis e 
queimadas. Apesar da sua importância ecológica, seu 
excesso causa perturbações no equilíbrio ambiental.
Considerando as propriedades descritas, o aumento 
atmosférico da substância afetará os organismos aquáticos 
em razão da","A: redução do potencial hidrogeniônico da água.; B: restrição da aerobiose pelo excesso de poluentes.; C: diminuição da emissão de oxigênio pelos autótrofos.; D: limitação de transferência de energia entre os seres 
vivos.; E: retração dos oceanos pelo congelamento do gás nos 
polos.",A,1.8581,2020,abre absorver aeróbica afetará ambiental ambiente apesar após aquáticos atmosférico aumento autotróficos capaz carbono causa celsius combustíveis conduz considerando decomposição descritas dióxido ecológica eletricidade equilíbrio estado excesso facilmente fecha fermentação fixação fotossíntese fósseis gasoso gelo graus gás importância industriais infravermelha limite matéria meio menos organismos parêntese passa perturbações prima propriedades queima queimadas radiação razão respiração resíduos retorna saturação seco solubilizado substância superfície sólido temperatura terra utilizado água,A: hidrogeniônico potencial redução água; B: aerobiose excesso poluentes restrição; C: autótrofos diminuição emissão oxigênio; D: energia limitação seres transferência vivos; E: congelamento gás oceanos polos retração
122,"Grupos de proteção ao meio ambiente conseguem 
resgatar muitas aves aquáticas vítimas de vazamentos de 
petróleo. Essas aves são lavadas com água e detergente 
neutro para a retirada completa do óleo de seu corpo e, 
posteriormente, são aquecidas, medicadas, desintoxicadas 
e alimentadas. Mesmo após esses cuidados, o retorno 
ao ambiente não pode ser imediato, pois elas precisam 
recuperar a capacidade de flutuação.
Para flutuar, essas aves precisam",A: recuperar o tônus muscular.; B: restaurar a massa corporal.; C: substituir as penas danificadas.; D: restabelecer a capacidade de homeotermia.; E: refazer a camada de cera impermeabilizante das penas.,E,0.62392,2020,alimentadas ambiente após aquecidas aquáticas aves capacidade completa conseguem corpo cuidados desintoxicadas detergente flutuar flutuação grupos imediato lavadas medicadas meio muitas neutro petróleo pode pois posteriormente precisam proteção recuperar resgatar retirada retorno vazamentos vítimas água óleo,A: muscular recuperar tônus; B: corporal massa restaurar; C: danificadas penas substituir; D: capacidade homeotermia restabelecer; E: camada cera impermeabilizante penas refazer
123,"Um estudante tem uma fonte de tensão com corrente 
contínua que opera em tensão fixa de 12 volts. Como 
precisa alimentar equipamentos que operam em tensões 
menores, ele emprega quatro resistores de 100 ohms 
para construir um divisor de tensão. Obtém-se este 
divisor associando os resistores, como exibido na figura. 
Os aparelhos podem ser ligados entre os pontos A, B, C, 
D e E, dependendo da tensão especificada.
Descrição da figura: Circuito elétrico com uma 
fonte de corrente contínua de tensão igual a 12 
volts em uma única malha com quatro resistores em 
série, cada um de resistência igual 100 ohms. O polo 
positivo da fonte está conectado ao ponto A. Entre os 
pontos A e B, encontra-se o primeiro resistor. Entre 
os pontos B e C, encontra-se o segundo resistor. 
Entre os pontos C e D, encontra-se o terceiro resistor. 
Entre os pontos D e E, encontra-se o quarto resistor. 
O ponto E está conectado ao polo negativo da fonte.
Ele tem um equipamento que opera em 9,0 volts com 
uma resistência interna de 10 quilo-ohms.
Entre quais pontos do divisor de tensão esse equipamento 
deve ser ligado para funcionar corretamente e qual será o 
valor da intensidade da corrente nele estabelecida?",A: Entre A e C; trinta miliampères.; B: Entre B e E; trinta miliampères.; C: Entre A e D; um vírgula dois miliampère.; D: Entre B e E; zero vírgula nove miliampère.; E: Entre A e E; zero vírgula nove miliampère.,D,2.08846,2020,alimentar aparelhos associando b c cada circuito conectado construir contínua corrente corretamente d dependendo descrição deve divisor elétrico emprega encontra equipamento equipamentos especificada estabelecida estudante exibido figura fixa fonte funcionar igual intensidade interna ligado ligados malha menores negativo nele obtém ohms opera operam podem polo ponto pontos positivo precisa primeiro quais quarto quatro quilo resistor resistores resistência segundo série tensão tensões terceiro valor volts única,A: c miliampères trinta; B: b miliampères trinta; C: d dois miliampère vírgula; D: b miliampère nove vírgula zero; E: miliampère nove vírgula zero
124,"Pesquisadores dos Estados Unidos desenvolveram 
uma nova técnica, que utiliza raios de luz infravermelha 
para destruir tumores. Primeiramente, o paciente recebe 
uma injeção com versões modificadas de anticorpos que 
têm a capacidade de, abre aspas, grudar, fecha aspas, 
apenas nas células cancerosas. Sozinhos, eles não fazem 
nada contra o tumor. Entretanto, esses anticorpos estão 
ligados a uma molécula, denominada IR700, que funcionará 
como uma, abre aspas, microbomba, fecha aspas, que irá 
destruir o câncer. Em seguida, o paciente recebe raios 
infravermelhos. Esses raios penetram no corpo e chegam 
até a molécula IR700, que é ativada e libera uma substância 
que ataca a célula cancerosa. 
Com base nas etapas de desenvolvimento, o nome 
apropriado para a técnica descrita é:",A: Radioterapia.; B: Cromoterapia.; C: Quimioterapia.; D: Fotoimunoterapia.; E: Terapia magnética.,D,1.57164,2020,abre anticorpos apenas apropriado aspas ataca ativada base cancerosa cancerosas capacidade chegam contra corpo câncer célula células denominada descrita desenvolveram desenvolvimento destruir entretanto estados etapas fazem fecha funcionará grudar infravermelha infravermelhos injeção irá libera ligados luz microbomba modificadas molécula nada nome nova paciente penetram pesquisadores primeiramente raios recebe seguida sozinhos substância tumor tumores técnica têm unidos utiliza versões,A: radioterapia; B: cromoterapia; C: quimioterapia; D: fotoimunoterapia; E: magnética terapia
125,"Aranhas, escorpiões, carrapatos e ácaros são 
representantes da classe dos Aracnídeos. Esses 
animais são terrestres em sua grande maioria e ocupam 
os mais variados hábitats, tais como montanhas altas, 
pântanos, desertos e solos arenosos. Podem ter sido 
os primeiros representantes do filo Arthropoda a habitar 
a terra seca.","A: característica que justifica o sucesso adaptativo desse 
grupo na ocupação do ambiente terrestre é a presença de; A: quelíceras e pedipalpos que coordenam o movimento 
corporal.; B: excreção de ácido úrico que confere estabilidade ao 
pH corporal.; C: exoesqueleto constituído de quitina que auxilia no 
controle hídrico corporal.; D: circulação sanguínea aberta que impede a 
desidratação dos tecidos corporais.; E: sistema nervoso ganglionar que promove a 
coordenação central do movimento corporal",C,1.19437,2020,altas animais aracnídeos aranhas arenosos arthropoda carrapatos classe desertos escorpiões filo grande habitar hábitats maioria montanhas ocupam podem primeiros pântanos representantes seca sido solos tais ter terra terrestres variados ácaros,A: adaptativo ambiente característica desse grupo justifica ocupação presença sucesso terrestre; A: coordenam corporal movimento pedipalpos quelíceras; B: confere corporal estabilidade excreção ph ácido úrico; C: auxilia constituído controle corporal exoesqueleto hídrico quitina; D: aberta circulação corporais desidratação impede sanguínea tecidos; E: central coordenação corporal ganglionar movimento nervoso promove sistema
126,"Você foi contratado para sincronizar os quatro 
semáforos sucessivos de uma avenida, indicados pelas 
letras O, A, B e C, respectivamente.
Os semáforos sucessivos estão separados por uma 
distância de 500 metros. Segundo os dados estatísticos 
da companhia controladora de trânsito, um veículo, que 
está inicialmente parado no semáforo O, tipicamente 
parte com aceleração constante de 1 metro por segundo 
ao quadrado até atingir a velocidade de 72 quilômetros 
por hora e, a partir daí, prossegue com velocidade 
constante. Você deve ajustar os semáforos A, B e C de 
modo que eles mudem para a cor verde quando o veículo 
estiver a 100 metros de cruzá-los, para que ele não tenha 
que reduzir a velocidade em nenhum momento.
Considerando 
essas 
condições, 
aproximadamente 
quanto tempo depois da abertura do semáforo O os 
semáforos A, B e C devem abrir, respectivamente?","A: vinte segundos, quarenta e cinco segundos e setenta segundos.; B: vinte e cinco segundos, cinquenta segundos e setenta e cinco segundos.; C: vinte e oito segundos, quarenta e dois segundos e cinquenta e três segundos.; D: trinta segundos, cinquenta e cinco segundos e oitenta segundos.; E: trinta e cinco segundos, sessenta segundos e oitenta e cinco segundos.",D,1.90806,2020,abertura abrir aceleração ajustar aproximadamente atingir avenida b c companhia condições considerando constante contratado controladora cor cruzá dados daí deve devem distância estatísticos hora indicados inicialmente letras los metro metros modo momento mudem nenhum parado parte partir prossegue quadrado quanto quatro quilômetros reduzir respectivamente segundo semáforo semáforos separados sincronizar sucessivos tempo tipicamente trânsito velocidade verde veículo,A: cinco quarenta segundos setenta vinte; B: cinco cinquenta segundos setenta vinte; C: cinquenta dois oito quarenta segundos três vinte; D: cinco cinquenta oitenta segundos trinta; E: cinco oitenta segundos sessenta trinta
127,"Nos dias atuais, o amplo uso de objetos de plástico 
gera bastante lixo, que muitas vezes é eliminado pela 
população por meio da queima. Esse procedimento é 
prejudicial ao meio ambiente por lançar substâncias 
poluentes. Para constatar esse problema, um estudante 
analisou a decomposição térmica do policloreto de 
vinila, abre parêntese, PVC, fecha parêntese, um tipo de 
plástico, cuja estrutura é representada na figura.
Para realizar esse experimento, o estudante colocou 
uma amostra de filme de PVC em um tubo de ensaio e o 
aqueceu, promovendo a decomposição térmica. Houve a 
liberação majoritária de um gás diatômico heteronuclear 
que foi recolhido em um recipiente acoplado ao tubo de 
ensaio. Esse gás, quando borbulhado em solução alcalina 
diluída contendo indicador ácido-base, alterou a cor da 
solução. Além disso, em contato com uma solução aquosa 
de carbonato de sódio, abre parêntese, Na2CO3, fecha 
parêntese, liberou gás carbônico.
Descrição da figura da estrutura química do 
policloreto de vinila: a unidade de repetição do 
policloreto de vinila, abre parêntese, PVC, fecha 
parêntese,  contém um átomo de carbono ligado a 
dois átomos de hidrogênio e a um outro átomo de 
carbono, que, por sua vez, está ligado a um átomo de 
hidrogênio e a um átomo de cloro. Essa unidade de 
repetição ocorre n vezes.
Qual foi o gás liberado majoritariamente na decomposição 
térmica desse tipo de plástico?",A: H₂ Hidrogênio molecular (ou Gás hidrogênio); B: Cl₂ Cloro molecular (ou Gás cloro); C: CO Monóxido de carbono; D: CO₂ Dióxido de carbono (ou Gás carbônico); E: HCl Ácido clorídrico (em solução aquosa) ou Cloreto de hidrogênio (forma gasosa),E,1.69946,2020,abre acoplado alcalina alterou além ambiente amostra amplo analisou aqueceu aquosa atuais base bastante borbulhado carbonato carbono carbônico cloro colocou constatar contato contendo contém cor cuja decomposição descrição desse dias diatômico diluída disso dois eliminado ensaio estrutura estudante experimento fecha figura filme gera gás heteronuclear hidrogênio indicador lançar liberado liberação liberou ligado lixo majoritariamente majoritária meio muitas n objetos ocorre outro parêntese plástico policloreto poluentes população prejudicial problema procedimento promovendo pvc queima química realizar recipiente recolhido repetição representada solução substâncias sódio tipo tubo térmica unidade uso vez vezes vinila ácido átomo átomos,A: gás hidrogênio molecular; B: cloro gás molecular; C: carbono co monóxido; D: carbono carbônico dióxido gás; E: aquosa cloreto clorídrico forma gasosa hcl hidrogênio solução ácido
128,"Uma população, abre parêntese, momento A, fecha 
parêntese, sofre isolamento em duas subpopulações, abre 
parêntese, momento B, fecha parêntese, por um fator de 
isolamento I. Passado um tempo, essas subpopulações 
apresentam características fenotípicas e genotípicas 
que as distinguem, abre parêntese, momento C, fecha 
parêntese, representadas na figura pelas tonalidades de 
cor. O posterior desaparecimento do fator de isolamento I 
pode levar, no momento D, às situações D1 e D2.
Descrição da figura:; A figura mostra as 
características de duas subpopulações numa linha 
temporal. No momento C, em que as características 
se mostram distintas, uma subpopulação é 
representada pela cor branca e a outra pela 
cor cinza. Após o desaparecimento do fator de 
isolamento I, tem-se duas situações no momento 
D, sendo:
D1: As populações que estavam separadas no momento 
anterior agora estão representadas unidas, e por cores 
distintas, uma porção branca e outra cinza.
D2: As populações que estavam separadas no momento 
anterior agora estão representadas unidas e ambas têm 
uma tonalidade cinza intermediária.
A representação indica que, no momento D, na situação","A: D1 ocorre um novo fator de isolamento geográfico.; B: D1 existe uma única população distribuída em 
gradiente.; C: D1 ocorrem duas populações separadas por 
isolamento reprodutivo.; D: D2 coexistem duas populações com características 
fenotípicas distintas.; E: D2 foram preservadas as mesmas características 
fenotípicas da população original A.",C,0.72028,2020,abre agora ambas anterior apresentam após b branca c características cinza cor cores d desaparecimento descrição distinguem distintas duas fator fecha fenotípicas figura genotípicas i indica intermediária isolamento levar linha momento mostra mostram outra parêntese passado pode população populações porção posterior representada representadas representação sendo separadas situação situações sofre subpopulação subpopulações tempo temporal tonalidade tonalidades têm unidas,A: fator geográfico isolamento novo ocorre; B: distribuída existe gradiente população única; C: duas isolamento ocorrem populações reprodutivo separadas; D: características coexistem distintas duas fenotípicas populações; E: características fenotípicas mesmas original população preservadas
129,"Na indústria farmacêutica, é muito comum o emprego 
de substâncias de revestimento em medicamentos de 
uso oral, pois trazem uma série de benefícios como 
alteração de sabor em medicamentos que tenham 
gosto ruim, melhoria da assimilação do composto, entre 
outras ações. Alguns compostos poliméricos à base do 
polissacarídeo celulose são utilizados para garantir que o 
fármaco somente seja liberado quando em contato com 
soluções aquosas cujo pH se encontre próximo da faixa 
da neutralidade.
Qual é a finalidade do uso desse revestimento à base 
de celulose?","A: Diminuir a absorção do princípio ativo no intestino.; B: Impedir que o fármaco seja solubilizado no intestino.; C: Garantir que o fármaco não seja afetado pelas 
secreções gástricas.; D: Permitir a liberação do princípio ativo pela ação das 
amilases salivares.; E: Facilitar a liberação do fármaco pela ação dos sais 
biliares sobre o revestimento.",C,1.17942,2020,alguns alteração aquosas assimilação ações base benefícios celulose composto compostos comum contato cujo desse emprego encontre faixa farmacêutica finalidade fármaco garantir gosto indústria liberado medicamentos melhoria neutralidade oral outras ph pois poliméricos polissacarídeo próximo revestimento ruim sabor soluções somente substâncias série trazem uso utilizados,A: absorção ativo diminuir intestino princípio; B: fármaco impedir intestino solubilizado; C: afetado fármaco garantir gástricas secreções; D: amilases ativo ação liberação permitir princípio salivares; E: ação biliares facilitar fármaco liberação revestimento sais sobre
130,"As panelas de pressão reduzem o tempo de 
cozimento dos alimentos por elevar a temperatura de 
ebulição da água. Os usuários conhecedores do utensílio 
normalmente abaixam a intensidade do fogo em panelas 
de pressão após estas iniciarem a saída dos vapores.
Ao abaixar o fogo, reduz-se a chama, pois assim 
evita-se o(a)",A: aumento da pressão interna e os riscos de explosão.; B: dilatação da panela e a desconexão com sua tampa.; C: perda da qualidade nutritiva do alimento.; D: deformação da borracha de vedação.; E: consumo de gás desnecessário.,E,1.67689,2020,abaixam abaixar alimentos após assim chama conhecedores cozimento ebulição elevar evita fogo iniciarem intensidade normalmente panelas pois pressão reduz reduzem saída temperatura tempo usuários utensílio vapores água,A: aumento explosão interna pressão riscos; B: desconexão dilatação panela tampa; C: alimento nutritiva perda qualidade; D: borracha deformação vedação; E: consumo desnecessário gás
131,"A nanotecnologia pode ser caracterizada quando os 
compostos estão na ordem de milionésimos de milímetros, 
como na utilização de nanomateriais catalíticos nos 
processos industriais. O uso desses materiais aumenta 
a eficiência da produção, consome menos energia e gera 
menores quantidades de resíduos. O sucesso dessa 
aplicação tecnológica muitas vezes está relacionado ao 
aumento da velocidade da reação química envolvida.
O êxito da aplicação dessa tecnologia é por causa 
da realização de reações químicas que ocorrem em 
condições de",A: alta pressão.; B: alta temperatura.; C: excesso de reagentes.; D: maior superfície de contato.; E: elevada energia de ativação.,D,1.59379,2020,aplicação aumenta aumento caracterizada catalíticos causa compostos condições consome dessa desses eficiência energia envolvida gera industriais materiais menores menos milionésimos milímetros muitas nanomateriais nanotecnologia ocorrem ordem pode processos produção quantidades química químicas realização reação reações relacionado resíduos sucesso tecnologia tecnológica uso utilização velocidade vezes êxito,A: alta pressão; B: alta temperatura; C: excesso reagentes; D: contato maior superfície; E: ativação elevada energia
132,"Os fones de ouvido  tradicionais transmitem a música 
diretamente para os nossos ouvidos. Já os modelos 
dotados de tecnologia redutora de ruído, Cancelamento 
de Ruído, além de transmitirem música, também reduzem 
todo ruído inconsistente à nossa volta, como o barulho 
de turbinas de avião e aspiradores de pó. Os fones de 
ouvido Cancelamento de Ruído não reduzem realmente 
barulhos irregulares como discursos e choros de bebês. 
Mesmo assim, a supressão do ronco das turbinas do 
avião contribui para reduzir a, abre aspas, fadiga de 
ruído, fecha aspas, um cansaço persistente provocado 
pela exposição a um barulho alto por horas a fio. Esses 
aparelhos também permitem que nós ouçamos músicas 
ou assistamos a vídeos no trem ou no avião a um volume 
muito menor e mais seguro.
A tecnologia redutora de ruído utilizada na produção 
de fones de ouvido baseia-se em qual fenômeno 
ondulatório?",A: Absorção.; B: Interferência.; C: Polarização.; D: Reflexão.; E: Difração.,B,1.69468,2020,abre alto além aparelhos aspas aspiradores assim assistamos avião barulho barulhos baseia bebês cancelamento cansaço choros contribui diretamente discursos dotados exposição fadiga fecha fenômeno fio fones horas inconsistente irregulares menor modelos música músicas ondulatório ouvido ouvidos ouçamos permitem persistente produção provocado pó realmente redutora reduzem reduzir ronco ruído seguro supressão tecnologia todo tradicionais transmitem transmitirem trem turbinas utilizada volta volume vídeos,A: absorção; B: interferência; C: polarização; D: reflexão; E: difração
133,"Para garantir que produtos eletrônicos estejam 
armazenados de forma adequada antes da venda, 
algumas empresas utilizam cartões indicadores de 
umidade nas embalagens desses produtos. Alguns 
desses cartões contêm um sal de cobalto que muda 
de cor em presença de água, de acordo com a 
equação química:
Descrição da equação química:
Os reagentes CoCl2, abre parêntese, sólido 
azul, fecha parêntese, mais 6 H2O, abre parêntese, 
gasoso, fecha parêntese, formam, em equilíbrio 
químico, o produto CoCl2.6H2O, abre parêntese, 
sólido rosa, fecha parêntese, com um delta H, abre 
parêntese, variação de entalpia, fecha parêntese, 
menor que zero.
Como você procederia para reutilizar, num curto intervalo de 
tempo, um cartão que já estivesse com a coloração rosa?",A: Resfriaria no congelador.; B: Borrifaria com spray de água.; C: Envolveria com papel alumínio.; D: Aqueceria com secador de cabelos.; E: Embrulharia em guardanapo de papel.2,D,0.84954,2020,abre acordo adequada algumas alguns antes armazenados azul cartão cartões cobalto coloração contêm cor curto delta descrição desses eletrônicos embalagens empresas entalpia equação equilíbrio fecha forma formam garantir gasoso h indicadores intervalo menor muda parêntese presença procederia produto produtos química químico reagentes reutilizar rosa sal sólido tempo umidade utilizam variação venda zero água,A: congelador resfriaria; B: borrifaria spray água; C: alumínio envolveria papel; D: aqueceria cabelos secador; E: embrulharia guardanapo papel
134,"Descrição da tirinha: Tirinha composta de três quadrinhos.
No primeiro quadrinho, temos apresentada as pernas de um homem e um gato se aproximando delas.
No segundo quadrinho, o gato está se esfregando nas pernas do homem e emite o seguinte som: PURRR.
No terceiro quadrinho, temos apenas o gato com todos os pelos do corpo arrepiados, e no balão temos o 
pensamento dele: EU ODEIO ELETRICIDADE ESTÁTICA.
Por qual motivo ocorre a eletrização ilustrada na tirinha?",A: Troca de átomos entre a calça e os pelos do gato.; B: Diminuição do número de prótons nos pelos do gato.; C: Criação de novas partículas eletrizadas nos pelos do gato.; D: Movimentação de elétrons entre a calça e os pelos do gato.; E: Repulsão entre partículas elétricas da calça e dos pelos do gato.,D,0.63073,2020,apenas apresentada aproximando arrepiados balão composta corpo descrição eletricidade eletrização emite esfregando estática gato homem ilustrada motivo ocorre odeio pensamento pernas primeiro purrr quadrinho quadrinhos seguinte segundo som terceiro tirinha todos três,A: calça gato troca átomos; B: diminuição gato número prótons; C: criação eletrizadas gato novas partículas; D: calça elétrons gato movimentação; E: calça elétricas gato partículas repulsão
135,"A enorme quantidade de resíduos gerados pelo consumo crescente da sociedade traz para a humanidade uma 
preocupação socioambiental, em especial pela quantidade de lixo produzido. Além da reciclagem e do reúso, pode-se 
melhorar ainda mais a qualidade de vida, substituindo polímeros convencionais por polímeros biodegradáveis.
Esses polímeros têm grandes vantagens socioambientais em relação aos convencionais porque",A: não são tóxicos.; B: não precisam ser reciclados.; C: não causam poluição ambiental quando descartados.; D: são degradados em um tempo bastante menor que os convencionais.; E: apresentam propriedades mecânicas semelhantes aos convencionais.3,D,-0.07547,2020,ainda além biodegradáveis consumo convencionais crescente enorme especial gerados grandes humanidade lixo melhorar pode polímeros porque preocupação produzido qualidade quantidade reciclagem relação resíduos reúso sociedade socioambientais socioambiental substituindo traz têm vantagens vida,A: tóxicos; B: precisam reciclados; C: ambiental causam descartados poluição; D: bastante convencionais degradados menor tempo; E: apresentam convencionais mecânicas propriedades semelhantes
91,"A maioria das pessoas fica com a visão embaçada 
ao abrir os olhos debaixo dʼágua. Mas há uma exceção: 
o povo moken, que habita a costa da Tailândia.  
Essa 
característica 
se 
deve 
principalmente 
à 
adaptabilidade do olho e à plasticidade do cérebro, o 
que significa que você também, com algum treinamento, 
poderia enxergar relativamente bem debaixo dʼágua. 
Estudos mostraram que as pupilas de olhos de 
indivíduos moken sofrem redução significativa debaixo 
dʼágua, o que faz com que os raios luminosos incidam 
quase paralelamente ao eixo óptico da pupila.","A: acuidade visual associada à redução das pupilas é 
fisicamente explicada pela diminuição; A: da intensidade luminosa incidente na retina.; B: da difração dos feixes luminosos que atravessam  
a pupila.; C: da intensidade dos feixes luminosos em uma direção 
por polarização.; D: do desvio dos feixes luminosos refratados no interior 
do olho.; E: das reflexões dos feixes luminosos no interior  
do olho.",D,1.58564,2019,abrir adaptabilidade algum bem característica costa cérebro debaixo deve eixo embaçada enxergar estudos exceção faz fica habita incidam indivíduos luminosos maioria moken mostraram olho olhos paralelamente pessoas plasticidade poderia povo principalmente pupila pupilas quase raios redução relativamente significa significativa sofrem tailândia treinamento visão óptico,A: acuidade associada diminuição explicada fisicamente pupilas redução visual; A: incidente intensidade luminosa retina; B: atravessam difração feixes luminosos pupila; C: direção feixes intensidade luminosos polarização; D: desvio feixes interior luminosos olho refratados; E: feixes interior luminosos olho reflexões
92,"O “The Kidney Project” é um projeto realizado por 
cientistas que pretendem desenvolver um rim biônico 
que executará a maioria das funções biológicas 
do órgão. O rim biônico possuirá duas partes que 
incorporam recentes avanços de nanotecnologia, 
filtração de membrana e biologia celular. Esse projeto 
significará uma grande melhoria na qualidade de vida 
para aquelas pessoas que dependem da hemodiálise 
para sobrevivência.
O dispositivo criado promoverá diretamente a",A: remoção de ureia.; B: excreção de lipídios.; C: síntese de vasopressina.; D: transformação de amônia.; E: fabricação de aldosterona.,A,1.07472,2019,avanços biologia biológicas biônico celular cientistas criado dependem desenvolver diretamente dispositivo duas executará filtração funções grande hemodiálise incorporam kidney maioria melhoria membrana nanotecnologia partes pessoas possuirá pretendem project projeto promoverá qualidade realizado recentes rim significará sobrevivência the vida órgão,A: remoção ureia; B: excreção lipídios; C: síntese vasopressina; D: amônia transformação; E: aldosterona fabricação
93,"Um experimento simples, que pode ser realizado 
com materiais encontrados em casa, é realizado da 
seguinte forma: adiciona-se um volume de etanol em 
um copo de vidro e, em seguida, uma folha de papel. 
Com o passar do tempo, observa-se um comportamento 
peculiar: o etanol se desloca sobre a superfície do papel, 
superando a gravidade que o atrai no sentido oposto, 
como mostra a imagem. Para parte dos estudantes, isso 
ocorre por causa da absorção do líquido pelo papel.
Descrição da imagem:
Copo de vidro que contém próximo de um quarto 
de seu volume de etanol, no qual está mergulhado 
verticalmente um pedaço retangular de papel de 
filtro, que encosta no fundo do copo. Observa-se 
que o etanol molha o papel de filtro acima do nível 
do líquido, na imediação da metade do copo.
Do ponto de vista científico, o que explica o movimento 
do líquido é a",A: evaporação do líquido.; B: diferença de densidades.; C: reação química com o papel.; D: capilaridade nos poros do papel.; E: resistência ao escoamento do líquido.,D,0.58267,2019,absorção acima adiciona atrai casa causa científico comportamento contém copo descrição desloca encontrados encosta estudantes etanol experimento explica filtro folha forma fundo gravidade imagem imediação líquido materiais mergulhado metade molha mostra movimento nível observa ocorre oposto papel parte passar peculiar pedaço pode ponto próximo quarto realizado retangular seguida seguinte sentido simples sobre superando superfície tempo verticalmente vidro vista volume,A: evaporação líquido; B: densidades diferença; C: papel química reação; D: capilaridade papel poros; E: escoamento líquido resistência
94,"Tratado sobre a luz
Quando se considera a extrema velocidade com 
que a luz se espalha por todos os lados e que, quando 
vêm de diferentes lugares, mesmo totalmente opostos,  
[os raios luminosos] se atravessam uns aos outros sem 
se atrapalharem, compreende-se que, quando vemos 
um objeto luminoso, isso não poderia ocorrer pelo 
transporte de uma matéria que venha do objeto até nós, 
como uma flecha ou bala atravessa o ar; pois certamente 
isso repugna bastante a essas duas propriedades da 
luz, principalmente a última.
O 
texto 
contesta 
que 
concepção 
acerca 
do 
comportamento da luz?","A: O entendimento de que a luz precisa de um meio 
de propagação, difundido pelos defensores da 
existência do éter.; B: O modelo ondulatório para a luz, o qual  
considera a possibilidade de interferência entre  
feixes luminosos.; C: O modelo corpuscular defendido por Newton,  
que descreve a luz como um feixe de partículas.; D: A crença na velocidade infinita da luz, defendida 
pela maioria dos filósofos gregos.; E: A ideia defendida pelos gregos de que a luz era 
produzida pelos olhos.",C,1.66707,2019,acerca ar atrapalharem atravessa atravessam bala bastante certamente comportamento compreende concepção considera contesta diferentes duas espalha extrema flecha lados lugares luminoso luminosos luz matéria objeto ocorrer opostos outros poderia pois principalmente propriedades raios repugna sobre texto todos totalmente transporte tratado uns velocidade vemos venha vêm última,A: defensores difundido entendimento existência luz meio precisa propagação éter; B: considera feixes interferência luminosos luz modelo ondulatório possibilidade; C: corpuscular defendido descreve feixe luz modelo newton partículas; D: crença defendida filósofos gregos infinita luz maioria velocidade; E: defendida gregos ideia luz olhos produzida
95,"Um dos parâmetros de controle de qualidade de 
polpas de frutas destinadas ao consumo como bebida é 
a acidez total expressa em ácido cítrico, que corresponde 
à massa dessa substância em 100 gramas de polpa 
de fruta. O ácido cítrico é uma molécula orgânica que 
apresenta três hidrogênios ionizáveis (ácido triprótico) 
e massa molar 192 gramas por mol. O quadro indica o 
valor mínimo desse parâmetro de qualidade para polpas 
comerciais de algumas frutas.
Descrição do quadro:
Quadro com os tipos de polpa de fruta e seus 
respectivos valores mínimos da acidez total expressa 
em ácido cítrico, em grama por 100 gramas.
Acerola: 0,8
Caju: 0,3
Cupuaçu: 1,5
Graviola: 0,6
Maracujá: 2,5
A acidez total expressa em ácido cítrico de uma 
amostra comercial de polpa de fruta foi determinada.  
No procedimento, adicionou-se água destilada a 2,2 gramas 
da amostra e, após a solubilização do ácido cítrico, o 
sólido remanescente foi filtrado. A solução obtida foi 
titulada com solução de hidróxido de sódio 0,01 mol por litro, 
em que se consumiram 24 mililitros da solução básica 
(titulante).
Entre as listadas, a amostra analisada pode ser de qual 
polpa de fruta?",A: Apenas caju.; B: Apenas maracujá.; C: Caju ou graviola.; D: Acerola ou cupuaçu.; E: Cupuaçu ou graviola.,C,1.59601,2019,acerola acidez adicionou algumas amostra analisada apresenta após bebida básica caju comerciais comercial consumiram consumo controle corresponde cupuaçu cítrico descrição dessa desse destilada destinadas determinada expressa filtrado fruta frutas grama gramas graviola hidrogênios hidróxido indica ionizáveis listadas litro maracujá massa mililitros mol molar molécula mínimo mínimos obtida orgânica parâmetro parâmetros pode polpa polpas procedimento quadro qualidade remanescente respectivos solubilização solução substância sódio sólido tipos titulada titulante total triprótico três valor valores ácido água,A: apenas caju; B: apenas maracujá; C: caju graviola; D: acerola cupuaçu; E: cupuaçu graviola
