numero_questao,enunciado,alternativas,nu_param_B,gabarito
11,"Para que todos os órgãos do corpo humano funcionem em boas condições, é necessário que a temperatura do corpo fique sempre entre 36 ºC e 37 ºC. Para manter-se dentro dessa faixa, em dias de muito calor ou durante intensos exercícios físicos, uma série de mecanismos fisiológicos é acionada. Pode-se citar como o principal responsável pela manutenção da temperatura corporal humana o sistema","A: digestório, pois produz enzimas que atuam na quebra de alimentos calóricos.; B: imunológico, pois suas células agem no sangue, diminuindo a condução do calor.; C: nervoso, pois promove a sudorese, que permite perda de calor por meio da evaporação da água.; D: reprodutor, pois secreta hormônios que alteram a temperatura, principalmente durante a menopausa.; E: endócrino, pois fabrica anticorpos que, por sua vez, atuam na variação do diâmetro dos vasos periféricos.",153.326,C
12,"Sabões são sais de ácidos carboxílicos de cadeia longa utilizados com a finalidade de facilitar, durante processos de lavagem, a remoção de substâncias de baixa solubilidade em água, por exemplo, óleos e gorduras. A figura a seguir representa a estrutura de uma molécula de sabão. Em solução, os ânions do sabão podem hidrolisar a água e, desse modo, formar o ácido carboxílico correspondente. Por exemplo, para o estearato de sódio, é estabelecido o seguinte equilíbrio: CH3(CH2)16COO–  + H2O CH3(CH2)16COOH + OH–  Uma vez que o ácido carboxílico formado é pouco solúvel em água e menos eficiente na remoção de gorduras, o pH do meio deve ser controlado de maneira a evitar que o equilíbrio acima seja deslocado para a direita. Com base nas informações do texto, é correto concluir que os sabões atuam de maneira",A: mais eficiente em pH básico.; B: mais eficiente em pH ácido.; C: mais eficiente em pH neutro.; D: eficiente em qualquer faixa de pH.; E: mais eficiente em pH ácido ou neutro.,114.174,A
13,"A abertura e a pavimentação de rodovias em zonas rurais e regiões afastadas dos centros urbanos, por um lado, possibilita melhor acesso e maior integração entre as comunidades, contribuindo com o desenvolvimento social e urbano de populações isoladas. Por outro lado, a construção de rodovias pode trazer impactos indesejáveis ao meio ambiente, visto que a abertura de estradas pode resultar na fragmentação de habitats, comprometendo o fluxo gênico e as interações entre espécies silvestres, além de prejudicar o fluxo natural de rios e riachos, possibilitar o ingresso de espécies exóticas em ambientes naturais e aumentar a pressão antrópica sobre os ecossistemas nativos. Nesse contexto, para conciliar os interesses aparentemente contraditórios entre o progresso social e urbano e a conservação do meio ambiente, seria razoável","A: impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, pois a qualidade de vida e as tecnologias encontradas nos centros urbanos são prescindíveis às populações rurais.; B: impedir a abertura e a pavimentação de rodovias em áreas rurais e em regiões preservadas, promovendo a migração das populações rurais para os centros urbanos, onde a qualidade de vida é melhor.; C: permitir a abertura e a pavimentação de rodovias apenas em áreas rurais produtivas, haja vista que nas demais áreas o retorno financeiro necessário para produzir uma melhoria na qualidade de vida da região não é garantido.; D: permitir a abertura e a pavimentação de rodovias, desde que comprovada a sua real necessidade e após a realização de estudos que demonstrem ser possível contornar ou compensar seus impactos ambientais.; E: permitir a abertura e a pavimentação de rodovias, haja vista que os impactos ao meio ambiente são temporários e podem ser facilmente revertidos com as tecnologias existentes para recuperação de áreas degradadas.",133.828,D
14,"A eficiência de um processo de conversão de energia é definida como a razão entre a produção de energia ou trabalho útil e o total de entrada de energia no processo. A figura mostra um processo com diversas etapas. Nesse caso, a eficiência geral será igual ao produto das eficiências das etapas individuais. A entrada de energia que não se transforma em trabalho útil é perdida sob formas não utilizáveis (como resíduos de calor). Aumentar a eficiência dos processos de conversão de energia implica economizar recursos e combustíveis. Das propostas seguintes, qual resultará em maior aumento da eficiência geral do processo? ","A: Aumentar a quantidade de combustível para queima na usina de força.; B: Utilizar lâmpadas incandescentes, que geram pouco calor e muita luminosidade.; C: Manter o menor número possível de aparelhos elétricos em funcionamento nas moradias.; D: Utilizar cabos com menor diâmetro nas linhas de transmissão a fim de economizar o material condutor.; E: Utilizar materiais com melhores propriedades condutoras nas linhas de transmissão e lâmpadas fluorescentes nas moradias.",78.172,E
15,"Para que apresente condutividade elétrica adequada a muitas aplicações, o cobre bruto obtido por métodos térmicos é purificado eletroliticamente. Nesse processo, o cobre bruto impuro constitui o ânodo da célula, que está imerso em uma solução de CuSO4. À medida que o cobre impuro é oxidado no ânodo, íons Cu2+ da solução são depositados na forma pura no cátodo. Quanto às impurezas metálicas, algumas são oxidadas, passando à solução, enquanto outras simplesmente se desprendem do ânodo e se sedimentam abaixo dele. As impurezas sedimentadas são posteriormente processadas, e sua comercialização gera receita que ajuda a cobrir os custos do processo. A série eletroquímica a seguir lista o cobre e alguns metais presentes como impurezas no cobre bruto de acordo com suas forças redutoras relativas. Entre as impurezas metálicas que constam na série apresentada, as que se sedimentam abaixo do ânodo de cobre são","A: Au, Pt, Ag, Zn, Ni e Pb.; B: Au, Pt e Ag.; C: Zn, Ni e Pb.; D: Au e Zn.; E: Ag e Pb.",1.9303,B
16,"A figura seguinte representa um modelo de transmissão da informação genética nos sistemas biológicos. No fim do processo, que inclui a replicação, a transcrição e a tradução, há três formas proteicas diferentes denominadas a, b e c. Depreende-se do modelo que ","A: a única molécula que participa da produção de proteínas é o DNA.; B: o fluxo de informação genética, nos sistemas biológicos, é unidirecional.; C: as fontes de informação ativas durante o processo de transcrição são as proteínas.; D: é possível obter diferentes variantes proteicas a partir de um mesmo produto de transcrição.; E: a molécula de DNA possui forma circular e as demais moléculas possuem forma de fita simples linearizadas.",116.625,D
17,"O Brasil pode se transformar no primeiro país das Américas a entrar no seleto grupo das nações que dispõem de trens-bala. O Ministério dos Transportes prevê o lançamento do edital de licitação internacional para a construção da ferrovia de alta velocidade Rio-São Paulo. A viagem ligará os 403 quilômetros entre a Central do Brasil, no Rio, e a Estação da Luz, no centro da capital paulista, em uma hora e 25 minutos. Devido à alta velocidade, um dos problemas a ser enfrentado na escolha do trajeto que será percorrido pelo trem é o dimensionamento das curvas. Considerando-se que uma aceleração lateral confortável para os passageiros e segura para o trem seja de 0,1 g, em que g é a aceleração da gravidade (considerada igual a 10 m/s2 ), e que a velocidade do trem se mantenha constante em todo o percurso, seria correto prever que as curvas existentes no trajeto deveriam ter raio de curvatura mínimo de, aproximadamente, ",A: 80 m.; B: 430 m.; C: 800 m.; D: 1.600 m.; E: 6.400 m.,368.523,E
18,"O manual de instruções de um aparelho de arcondicionado apresenta a seguinte tabela, com dados técnicos para diversos modelos: Capacidade de refrigeração kW/(BTU/h) Potência (W) Corrente elétrica - ciclo frio (A) Eficiência energética COP (W/W) Vazão de ar (m3 /h) Frequência (Hz) 3,52/(12.000) 1.193 5,8 2,95 550 60 5,42/(18.000) 1.790 8,7 2,95 800 60 5,42/(18.000) 1.790 8,7 2,95 800 60 6,45/(22.000) 2.188 10,2 2,95 960 60 6,45/(22.000) 2.188 10,2 2,95 960 60 Considere-se que um auditório possua capacidade para 40 pessoas, cada uma produzindo uma quantidade média de calor, e que praticamente todo o calor que flui para fora do auditório o faz por meio dos aparelhos de arcondicionado. Nessa situação, entre as informações listadas, aquelas essenciais para se determinar quantos e/ou quais aparelhos de ar-condicionado são precisos para manter, com lotação máxima, a temperatura interna do auditório agradável e constante, bem como determinar a espessura da fiação do circuito elétrico para a ligação desses aparelhos, são",A: vazão de ar e potência.; B: vazão de ar e corrente elétrica - ciclo frio.; C: eficiência energética e potência.; D: capacidade de refrigeração e frequência.; E: capacidade de refrigeração e corrente elétrica - ciclo frio.,88.832,E
19,"A instalação elétrica de uma casa envolve várias etapas, desde a alocação dos dispositivos, instrumentos e aparelhos elétricos, até a escolha dos materiais que a compõem, passando pelo dimensionamento da potência requerida, da fiação necessária, dos eletrodutos*, entre outras. Para cada aparelho elétrico existe um valor de potência associado. Valores típicos de potências para alguns aparelhos elétricos são apresentados no quadro seguinte: Aparelhos Potência (W) Aparelho de som 120 Chuveiro elétrico 3.000 Ferro elétrico 500 Televisor 200 Geladeira 200 Rádio 50 *Eletrodutos são condutos por onde passa a fiação de uma instalação elétrica, com a finalidade de protegê-la. A escolha das lâmpadas é essencial para obtenção de uma boa iluminação. A potência da lâmpada deverá estar de acordo com o tamanho do cômodo a ser iluminado. O quadro a seguir mostra a relação entre as áreas dos cômodos (em m2 ) e as potências das lâmpadas (em W), e foi utilizado como referência para o primeiro pavimento de uma residência. Potência da Lâmpada (W) Área do Cômodo (m2 ) Sala/copa /cozinha Quarto, varanda e corredor Banheiro Até 6,0 60 60 60 6,0 a 7,5 100 100 60 7,5 a 10,5 100 100 100 Considerando a planta baixa fornecida, com todos os aparelhos em funcionamento, a potência total, em watts, será de ",A: 4.070.; B: 4.270.; C: 4.320.; D: 4.390.; E: 4.470.,204.966,D
20,"O esquema mostra um diagrama de bloco de uma estação geradora de eletricidade abastecida por combustível fóssil. Se fosse necessário melhorar o rendimento dessa usina, que forneceria eletricidade para abastecer uma cidade, qual das seguintes ações poderia resultar em alguma economia de energia, sem afetar a capacidade de geração da usina?",A: Reduzir a quantidade de combustível fornecido à usina para ser queimado.; B: Reduzir o volume de água do lago que circula no condensador de vapor.; C: Reduzir o tamanho da bomba usada para devolver a água líquida à caldeira.; D: Melhorar a capacidade dos dutos com vapor conduzirem calor para o ambiente.; E: Usar o calor liberado com os gases pela chaminé para mover um outro gerador.,84.679,E
21,"Os seres vivos apresentam diferentes ciclos de vida, caracterizados pelas fases nas quais gametas são produzidos e pelos processos reprodutivos que resultam na geração de novos indivíduos. Considerando-se um modelo simplificado padrão para geração de indivíduos viáveis, a alternativa que corresponde ao observado em seres humanos é:",A: ; B: ; C: ; D: ; E:,308.201,C
22,"Um medicamento, após ser ingerido, atinge a corrente sanguínea e espalha-se pelo organismo, mas, como suas moléculas “não sabem” onde é que está o problema, podem atuar em locais diferentes do local “alvo” e desencadear efeitos além daqueles desejados. Não seria perfeito se as moléculas dos medicamentos soubessem exatamente onde está o problema e fossem apenas até aquele local exercer sua ação? A técnica conhecida como iontoforese, indolor e não invasiva, promete isso. Como mostram as figuras, essa nova técnica baseia-se na aplicação de uma corrente elétrica de baixa intensidade sobre a pele do paciente, permitindo que fármacos permeiem membranas biológicas e alcancem a corrente sanguínea, sem passar pelo estômago. Muitos pacientes relatam apenas um formigamento no local de aplicação. O objetivo da corrente elétrica é formar poros que permitam a passagem do fármaco de interesse. A corrente elétrica é distribuída por eletrodos, positivo e negativo, por meio de uma solução aplicada sobre a pele. Se a molécula do medicamento tiver carga elétrica positiva ou negativa, ao entrar em contato com o eletrodo de carga de mesmo sinal, ela será repelida e forçada a entrar na pele (eletrorrepulsão - A). Se for neutra, a molécula será forçada a entrar na pele juntamente com o fluxo de solvente fisiológico que se forma entre os eletrodos (eletrosmose - B). De acordo com as informações contidas no texto e nas figuras, o uso da iontoforese ","A: provoca ferimento na pele do paciente ao serem introduzidos os eletrodos, rompendo o epitélio.; B: aumenta o risco de estresse nos pacientes, causado pela aplicação da corrente elétrica.; C: inibe o mecanismo de ação dos medicamentos no tecido-alvo, pois estes passam a entrar por meio da pele.; D: diminui o efeito colateral dos medicamentos, se comparados com aqueles em que a ingestão se faz por via oral.; E: deve ser eficaz para medicamentos constituídos de moléculas polares e ineficaz, se essas forem apolares.",164.897,D
23,"Cerca de 1% do lixo urbano é constituído por resíduos sólidos contendo elementos tóxicos. Entre esses elementos estão metais pesados como o cádmio, o chumbo e o mercúrio, componentes de pilhas e baterias, que são perigosos à saúde humana e ao meio ambiente. Quando descartadas em lixos comuns, pilhas e baterias vão para aterros sanitários ou lixões a céu aberto, e o vazamento de seus componentes contamina o solo, os rios e o lençol freático, atingindo a flora e a fauna. Por serem bioacumulativos e não biodegradáveis, esses metais chegam de forma acumulada aos seres humanos, por meio da cadeia alimentar. A legislação vigente (Resolução CONAMA no 257/1999) regulamenta o destino de pilhas e baterias após seu esgotamento energético e determina aos fabricantes e/ou importadores a quantidade máxima permitida desses metais em cada tipo de pilha/bateria, porém o problema ainda persiste. Uma medida que poderia contribuir para acabar definitivamente com o problema da poluição ambiental por metais pesados relatado no texto seria","A: deixar de consumir aparelhos elétricos que utilizem pilha ou bateria como fonte de energia.; B: usar apenas pilhas ou baterias recarregáveis e de vida útil longa e evitar ingerir alimentos contaminados, especialmente peixes.; C: devolver pilhas e baterias, após o esgotamento da energia armazenada, à rede de assistência técnica especializada para repasse a fabricantes e/ou importadores.; D: criar nas cidades, especialmente naquelas com mais de 100 mil habitantes, pontos estratégicos de coleta de baterias e pilhas, para posterior repasse a fabricantes e/ou importadores.; E: exigir que fabricantes invistam em pesquisa para a substituição desses metais tóxicos por substâncias menos nocivas ao homem e ao ambiente, e que não sejam bioacumulativas.",160.996,E
24,"Umidade relativa do ar é o termo usado para descrever a quantidade de vapor de água contido na atmosfera. Ela é definida pela razão entre o conteúdo real de umidade de uma parcela de ar e a quantidade de umidade que a mesma parcela de ar pode armazenar na mesma temperatura e pressão quando está saturada de vapor, isto é, com 100% de umidade relativa. O gráfico representa a relação entre a umidade relativa do ar e sua temperatura ao longo de um período de 24 horas em um determinado local. Considerando-se as informações do texto e do gráfico, conclui-se que","A: a insolação é um fator que provoca variação da umidade relativa do ar.; B: o ar vai adquirindo maior quantidade de vapor de água à medida que se aquece.; C: a presença de umidade relativa do ar é diretamente proporcional à temperatura do ar.; D: a umidade relativa do ar indica, em termos absolutos, a quantidade de vapor de água existente na atmosfera.; E: a variação da umidade do ar se verifica no verão, e não no inverno, quando as temperaturas permanecem baixas.",246.597,A
25,"Os planos de controle e erradicação de doenças em animais envolvem ações de profilaxia e dependem em grande medida da correta utilização e interpretação de testes diagnósticos. O quadro mostra um exemplo hipotético de aplicação de um teste diagnóstico. condição real dos animais resultado do teste infectado não infectado total positivo 45 38 83 negativo 5 912 917 total 50 950 1.000 Considerando que, no teste diagnóstico, a sensibilidade é a probabilidade de um animal infectado ser classificado como positivo e a especificidade é a probabilidade de um animal não infectado ter resultado negativo, a interpretação do quadro permite inferir que","A: a especificidade aponta um número de 5 falsos positivos.; B: o teste, a cada 100 indivíduos infectados, classificaria 90 como positivos.; C: o teste classificaria 96 como positivos em cada 100 indivíduos não infectados.; D: ações de profilaxia são medidas adotadas para o tratamento de falsos positivos.; E: testes de alta sensibilidade resultam em maior número de animais falsos negativos comparado a um teste de baixa sensibilidade.",229.092,B
26,"O processo de industrialização tem gerado sérios problemas de ordem ambiental, econômica e social, entre os quais se pode citar a chuva ácida. Os ácidos usualmente presentes em maiores proporções na água da chuva são o H2CO3, formado pela reação do CO2 atmosférico com a água, o HNO3, o HNO2, o H2SO4 e o H2SO3. Esses quatro últimos são formados principalmente a partir da reação da água com os óxidos de nitrogênio e de enxofre gerados pela queima de combustíveis fósseis. A formação de chuva mais ou menos ácida depende não só da concentração do ácido formado, como também do tipo de ácido. Essa pode ser uma informação útil na elaboração de estratégias para minimizar esse problema ambiental. Se consideradas concentrações idênticas, quais dos ácidos citados no texto conferem maior acidez às águas das chuvas?",A: HNO3 e HNO2.; B: H2SO4 e H2SO3.; C: H2SO3 e HNO2.; D: H2SO4 e HNO3.; E: H2CO3 e H2SO3.,2.0613,D
27,"O ônibus espacial Atlantis foi lançado ao espaço com cinco astronautas a bordo e uma câmera nova, que iria substituir uma outra danificada por um curto-circuito no telescópio Hubble. Depois de entrarem em órbita a 560 km de altura, os astronautas se aproximaram do Hubble. Dois astronautas saíram da Atlantis e se dirigiram ao telescópio. Ao abrir a porta de acesso, um deles exclamou: “Esse telescópio tem a massa grande, mas o peso é pequeno.” Considerando o texto e as leis de Kepler, pode-se afirmar que a frase dita pelo astronauta ","A: se justifica porque o tamanho do telescópio determina a sua massa, enquanto seu pequeno peso decorre da falta de ação da aceleração da gravidade.; B: se justifica ao verificar que a inércia do telescópio é grande comparada à dele próprio, e que o peso do telescópio é pequeno porque a atração gravitacional criada por sua massa era pequena.; C: não se justifica, porque a avaliação da massa e do peso de objetos em órbita tem por base as leis de Kepler, que não se aplicam a satélites artificiais.; D: não se justifica, porque a força-peso é a força exercida pela gravidade terrestre, neste caso, sobre o telescópio e é a responsável por manter o próprio telescópio em órbita.; E: não se justifica, pois a ação da força-peso implica a ação de uma força de reação contrária, que não existe naquele ambiente. A massa do telescópio poderia ser avaliada simplesmente pelo seu volume.",,D
28,"Uma pesquisadora deseja reflorestar uma área de mata ciliar quase que totalmente desmatada. Essa formação vegetal é um tipo de floresta muito comum nas margens de rios dos cerrados no Brasil central e, em seu clímax, possui vegetação arbórea perene e apresenta dossel fechado, com pouca incidência luminosa no solo e nas plântulas. Sabe-se que a incidência de luz, a disponibilidade de nutrientes e a umidade do solo são os principais fatores do meio ambiente físico que influenciam no desenvolvimento da planta. Para testar unicamente os efeitos da variação de luz, a pesquisadora analisou, em casas de vegetação com condições controladas, o desenvolvimento de plantas de 10 espécies nativas da região desmatada sob quatro condições de luminosidade: uma sob sol pleno e as demais em diferentes níveis de sombreamento. Para cada tratamento experimental, a pesquisadora relatou se o desenvolvimento da planta foi bom, razoável ou ruim, de acordo com critérios específicos. Os resultados obtidos foram os seguintes: Condição de luminosidade Espécie Sombreamento Sol pleno 30% 50% 90% 1 Razoável Bom Razoável Ruim 2 Bom Razoável Ruim Ruim 3 Bom Bom Razoável Ruim 4 Bom Bom Bom Bom 5 Bom Razoável Ruim Ruim 6 Ruim Razoável Bom Bom 7 Ruim Ruim Ruim Razoável 8 Ruim Ruim Razoável Ruim 9 Ruim Razoável Bom Bom 10 Razoável Razoável Razoável Bom Para o reflorestamento da região desmatada,","A: a espécie 8 é mais indicada que a 1, uma vez que aquela possui melhor adaptação a regiões com maior incidência de luz.; B: recomenda-se a utilização de espécies pioneiras, isto é, aquelas que suportam alta incidência de luz, como as espécies 2, 3 e 5.; C: sugere-se o uso de espécies exóticas, pois somente essas podem suportar a alta incidência luminosa característica de regiões desmatadas.; D: espécies de comunidade clímax, como as 4 e 7, são as mais indicadas, uma vez que possuem boa capacidade de aclimatação a diferentes ambientes.; E: é recomendado o uso de espécies com melhor desenvolvimento à sombra, como as plantas das espécies 4, 6, 7, 9 e 10, pois essa floresta, mesmo no estágio de degradação referido, possui dossel fechado, o que impede a entrada de luz.",73.207,B
29,"Os núcleos dos átomos são constituídos de prótons e nêutrons, sendo ambos os principais responsáveis pela sua massa. Nota-se que, na maioria dos núcleos, essas partículas não estão presentes na mesma proporção. O gráfico mostra a quantidade de nêutrons (N) em função da quantidade de prótons (Z) para os núcleos estáveis conhecidos. O antimônio é um elemento químico que possui 50 prótons e possui vários isótopos ― átomos que só se diferem pelo número de nêutrons. De acordo com o gráfico, os isótopos estáveis do antimônio possuem",A: entre 12 e 24 nêutrons a menos que o número de prótons.; B: exatamente o mesmo número de prótons e nêutrons.; C: entre 0 e 12 nêutrons a mais que o número de prótons.; D: entre 12 e 24 nêutrons a mais que o número de prótons.; E: entre 0 e 12 nêutrons a menos que o número de prótons.,279.346,D
