numero_questao,enunciado,alternativas,gabarito,pc_amostra_acertos,ano,gabarito_texto,distratores,enunciado_tokens,gabarito_tokens,distratores_tokens,dificuldade
82,"O boato de que os lacres das latas de alumínio teriam um alto valor comercial levou muitas pessoas a juntarem esse material na expectativa de ganhar dinheiro com sua venda. As empresas fabricantes de alumínio esclarecem que isso não passa de uma “lenda urbana”, pois ao retirar o anel da lata, dificulta-se a reciclagem do alumínio. Como a liga do qual é feito o anel contém alto teor de magnésio, se ele não estiver junto com a lata, fica mais fácil ocorrer a oxidação do alumínio no forno. A tabela apresenta as semirreações e os valores de potencial padrão de redução de alguns metais: Com base no texto e na tabela, que metais poderiam entrar na composição do anel das latas com a mesma função do magnésio, ou seja, proteger o alumínio da oxidação nos fornos e não deixar diminuir o rendimento da sua reciclagem?","A: Somente o lítio, pois ele possui o menor potencial de redução.; B: Somente o cobre, pois ele possui o maior potencial de redução.; C: Somente o potássio, pois ele possui potencial de redução mais próximo do magnésio.; D: Somente o cobre e o zinco, pois eles sofrem oxidação mais facilmente que o alumínio.; E: Somente o lítio e o potássio, pois seus potenciais de redução são menores do que o do alumínio.",E,0.29,2012,"Somente o lítio e o potássio, pois seus potenciais de redução são menores do que o do alumínio.","Somente o lítio, pois ele possui o menor potencial de redução.; Somente o cobre, pois ele possui o maior potencial de redução.; Somente o potássio, pois ele possui potencial de redução mais próximo do magnésio.; Somente o cobre e o zinco, pois eles sofrem oxidação mais facilmente que o alumínio.",boato lacres latas alumínio alto valor comercial levou muitas pessoas juntarem material expectativa ganhar dinheiro venda empresas fabricantes alumínio esclarecem passa lenda urbana pois retirar anel lata dificulta reciclagem alumínio liga feito anel contém alto teor magnésio junto lata fica fácil ocorrer oxidação alumínio forno tabela apresenta semirreações valores potencial padrão redução alguns metais base texto tabela metais poderiam entrar composição anel latas mesma função magnésio proteger alumínio oxidação fornos deixar diminuir rendimento reciclagem,somente lítio potássio pois potenciais redução menores alumínio,somente lítio pois possui menor potencial redução somente cobre pois possui maior potencial redução somente potássio pois possui potencial redução próximo magnésio somente cobre zinco pois sofrem oxidação facilmente alumínio,1.028
83,"Aumentar a eficiência na queima de combustível dos motores a combustão e reduzir suas emissões de poluentes é a meta de qualquer fabricante de motores. É também o foco de uma pesquisa brasileira que envolve experimentos com plasma, o quarto estado da matéria e que está presente no processo de ignição. A interação da faísca emitida pela vela de ignição com as moléculas de combustível gera o plasma que provoca a explosão liberadora de energia que, por sua vez, faz o motor funcionar. No entanto, a busca da eficiência referenciada no texto apresenta como fator limitante","A: o tipo de combustível, fóssil, que utilizam. Sendo um insumo não renovável, em algum momento estará esgotado.; B: um dos princípios da termodinâmica, segundo o qual o rendimento de uma máquina térmica nunca atinge o ideal.; C: o funcionamento cíclico de todos os motores. A repetição contínua dos movimentos exige que parte da energia seja transferida ao próximo ciclo.; D: as forças de atrito inevitável entre as peças. Tais forças provocam desgastes contínuos que com o tempo levam qualquer material à fadiga e ruptura.; E: a temperatura em que eles trabalham. Para atingir o plasma, é necessária uma temperatura maior que a de fusão do aço com que se fazem os motores.",B,0.13,2012,"um dos princípios da termodinâmica, segundo o qual o rendimento de uma máquina térmica nunca atinge o ideal.","o tipo de combustível, fóssil, que utilizam. Sendo um insumo não renovável, em algum momento estará esgotado.; o funcionamento cíclico de todos os motores. A repetição contínua dos movimentos exige que parte da energia seja transferida ao próximo ciclo.; as forças de atrito inevitável entre as peças. Tais forças provocam desgastes contínuos que com o tempo levam qualquer material à fadiga e ruptura.; a temperatura em que eles trabalham. Para atingir o plasma, é necessária uma temperatura maior que a de fusão do aço com que se fazem os motores.",aumentar eficiência queima combustível motores combustão reduzir emissões poluentes meta qualquer fabricante motores foco pesquisa brasileira envolve experimentos plasma quarto estado matéria presente processo ignição interação faísca emitida vela ignição moléculas combustível gera plasma provoca explosão liberadora energia vez faz motor funcionar entanto busca eficiência referenciada texto apresenta fator limitante,princípios termodinâmica segundo rendimento máquina térmica nunca atinge ideal,tipo combustível fóssil utilizam sendo insumo renovável algum momento estará esgotado funcionamento cíclico todos motores repetição contínua movimentos exige parte energia transferida próximo ciclo forças atrito inevitável peças tais forças provocam desgastes contínuos tempo levam qualquer material fadiga ruptura temperatura trabalham atingir plasma necessária temperatura maior fusão aço fazem motores,1.521
84,"A falta de conhecimento em relação ao que vem a ser um material radioativo e quais os efeitos, consequências e usos da irradiação pode gerar o medo e a tomada de decisões equivocadas, como a apresentada no exemplo a seguir. “Uma companhia aérea negou-se a transportar material médico por este portar um certificado de esterilização por irradiação.”. A decisão tomada pela companhia é equivocada, pois","A: o material é incapaz de acumular radiação, não se tornando radioativo por ter sido irradiado.; B: a utilização de uma embalagem é suficiente para bloquear a radiação emitida pelo material.; C: a contaminação radioativa do material não se prolifera da mesma forma que as infecções por microrganismos.; D: o material irradiado emite radiação de intensidade abaixo daquela que ofereceria risco à saúde.; E: o intervalo de tempo após a esterilização é suficiente para que o material não emita mais radiação.",A,0.16,2012,"o material é incapaz de acumular radiação, não se tornando radioativo por ter sido irradiado.",a utilização de uma embalagem é suficiente para bloquear a radiação emitida pelo material.; a contaminação radioativa do material não se prolifera da mesma forma que as infecções por microrganismos.; o material irradiado emite radiação de intensidade abaixo daquela que ofereceria risco à saúde.; o intervalo de tempo após a esterilização é suficiente para que o material não emita mais radiação.,falta conhecimento relação vem material radioativo quais efeitos consequências usos irradiação pode gerar medo tomada decisões equivocadas apresentada exemplo seguir companhia aérea negou transportar material médico portar certificado esterilização irradiação decisão tomada companhia equivocada pois,material incapaz acumular radiação tornando radioativo ter sido irradiado,utilização embalagem suficiente bloquear radiação emitida material contaminação radioativa material prolifera mesma forma infecções microrganismos material irradiado emite radiação intensidade abaixo daquela ofereceria risco saúde intervalo tempo após esterilização suficiente material emita radiação,2.098
85,"A imagem representa o processo de evolução das plantas e algumas de suas estruturas. Para o sucesso desse processo, a partir de um ancestral simples, os diferentes grupos vegetais desenvolveram estruturas adaptativas que lhes permitiram sobreviver em diferentes ambientes. Qual das estruturas adaptativas apresentadas contribuiu para uma maior diversidade genética?","A: As sementes aladas, que favorecem a dispersão aérea.; B: Os arquegônios, que protegem o embrião multicelular.; C: Os grãos de pólen, que garantem a polinização cruzada.; D: Os frutos, que promovem uma maior eficiência reprodutiva.; E: Os vasos condutores, que possibilitam o transporte da seiva bruta.",C,0.43,2012,"Os grãos de pólen, que garantem a polinização cruzada.","As sementes aladas, que favorecem a dispersão aérea.; Os arquegônios, que protegem o embrião multicelular.; Os frutos, que promovem uma maior eficiência reprodutiva.; Os vasos condutores, que possibilitam o transporte da seiva bruta.",imagem representa processo evolução plantas algumas estruturas sucesso desse processo partir ancestral simples diferentes grupos vegetais desenvolveram estruturas adaptativas permitiram sobreviver diferentes ambientes estruturas adaptativas apresentadas contribuiu maior diversidade genética,grãos pólen garantem polinização cruzada,sementes aladas favorecem dispersão aérea arquegônios protegem embrião multicelular frutos promovem maior eficiência reprodutiva vasos condutores possibilitam transporte seiva bruta,0.96
86,"Osmose é um processo espontâneo que ocorre em todos os organismos vivos e é essencial à manutenção da vida. Uma solução 0,15 mol/L de NaCℓ (cloreto de sódio) possui a mesma pressão osmótica das soluções presentes nas células humanas. A imersão de uma célula humana em uma solução 0,20 mol/L de NaCℓ tem, como consequência, a",A: adsorção de íons Na+ sobre a superfície da célula.; B: difusão rápida de íons Na+ para o interior da célula.; C: diminuição da concentração das soluções presentes na célula.; D: transferência de íons Na+ da célula para a solução.; E: transferência de moléculas de água do interior da célula para a solução.,E,0.25,2012,transferência de moléculas de água do interior da célula para a solução.,adsorção de íons Na+ sobre a superfície da célula.; difusão rápida de íons Na+ para o interior da célula.; diminuição da concentração das soluções presentes na célula.; transferência de íons Na+ da célula para a solução.,osmose processo espontâneo ocorre todos organismos vivos essencial manutenção vida solução mol l nacℓ cloreto sódio possui mesma pressão osmótica soluções presentes células humanas imersão célula humana solução mol l nacℓ consequência,transferência moléculas água interior célula solução,adsorção íons sobre superfície célula difusão rápida íons interior célula diminuição concentração soluções presentes célula transferência íons célula solução,0.957
87,"A doença de Chagas afeta mais de oito milhões de brasileiros, sendo comum em áreas rurais. É uma doença causada pelo protozoário Trypanosoma cruzi e transmitida por insetos conhecidos como barbeiros ou chupanças. Uma ação do homem sobre o meio ambiente que tem contribuído para o aumento dessa doença é",A: o consumo de carnes de animais silvestres que são hospedeiros do vetor da doença.; B: a utilização de adubos químicos na agricultura que aceleram o ciclo reprodutivo do barbeiro.; C: a ausência de saneamento básico que favorece a proliferação do protozoário em regiões habitadas por humanos.; D: a poluição dos rios e lagos com pesticidas que exterminam o predador das larvas do inseto transmissor da doença.; E: o desmatamento que provoca a migração ou o desaparecimento dos animais silvestres dos quais o barbeiro se alimenta.,E,0.27,2012,o desmatamento que provoca a migração ou o desaparecimento dos animais silvestres dos quais o barbeiro se alimenta.,o consumo de carnes de animais silvestres que são hospedeiros do vetor da doença.; a utilização de adubos químicos na agricultura que aceleram o ciclo reprodutivo do barbeiro.; a ausência de saneamento básico que favorece a proliferação do protozoário em regiões habitadas por humanos.; a poluição dos rios e lagos com pesticidas que exterminam o predador das larvas do inseto transmissor da doença.,doença chagas afeta oito milhões brasileiros sendo comum áreas rurais doença causada protozoário trypanosoma cruzi transmitida insetos conhecidos barbeiros chupanças ação homem sobre meio ambiente contribuído aumento dessa doença,desmatamento provoca migração desaparecimento animais silvestres quais barbeiro alimenta,consumo carnes animais silvestres hospedeiros vetor doença utilização adubos químicos agricultura aceleram ciclo reprodutivo barbeiro ausência saneamento básico favorece proliferação protozoário regiões habitadas humanos poluição rios lagos pesticidas exterminam predador larvas inseto transmissor doença,1.598
88,"Nossa pele possui células que reagem à incidência de luz ultravioleta e produzem uma substância chamada melanina, responsável pela pigmentação da pele. Pensando em se bronzear, uma garota vestiu um biquíni, acendeu a luz de seu quarto e deitou-se exatamente abaixo da lâmpada incandescente. Após várias horas ela percebeu que não conseguiu resultado algum. O bronzeamente não ocorreu porque a luz emitida pela lâmpada incandescente é de",A: baixa intensidade.; B: baixa frequência.; C: um espectro contínuo.; D: amplitude inadequada.; E: curto comprimento de onda.,B,0.15,2012,baixa frequência.,baixa intensidade.; um espectro contínuo.; amplitude inadequada.; curto comprimento de onda.,pele possui células reagem incidência luz ultravioleta produzem substância chamada melanina responsável pigmentação pele pensando bronzear garota vestiu biquíni acendeu luz quarto deitou exatamente abaixo lâmpada incandescente após várias horas percebeu conseguiu resultado algum bronzeamente ocorreu porque luz emitida lâmpada incandescente,baixa frequência,baixa intensidade espectro contínuo amplitude inadequada curto comprimento onda,1.465
89,"Quando colocados em água, os fosfolipídeos tendem a formar lipossomos, estruturas formadas por uma bicamada lipídica, conforme mostrado na figura. Quando rompida, essa estrutura tende a se reorganizar em um novo lipossomo. Esse arranjo característico se deve ao fato de os fosfolipídios apresentarem uma natureza","A: polar, ou seja, serem inteiramente solúveis em água.; B: apolar, ou seja, não serem solúveis em solução aquosa.; C: anfotérica, ou seja, podem comportar-se como ácidos e bases.; D: insaturada, ou seja, possuírem duplas ligações em sua estrutura.; E: anfifílica, ou seja, possuírem uma parte hidrofílica e outra hidrofóbica.",E,0.28,2012,"anfifílica, ou seja, possuírem uma parte hidrofílica e outra hidrofóbica.","polar, ou seja, serem inteiramente solúveis em água.; apolar, ou seja, não serem solúveis em solução aquosa.; anfotérica, ou seja, podem comportar-se como ácidos e bases.; insaturada, ou seja, possuírem duplas ligações em sua estrutura.",colocados água fosfolipídeos tendem formar lipossomos estruturas formadas bicamada lipídica conforme mostrado figura rompida estrutura tende reorganizar novo lipossomo arranjo característico deve fato fosfolipídios apresentarem natureza,anfifílica possuírem parte hidrofílica outra hidrofóbica,polar serem inteiramente solúveis água apolar serem solúveis solução aquosa anfotérica podem comportar ácidos bases insaturada possuírem duplas ligações estrutura,1.009
46,"Músculos artificiais são dispositivos feitos com plásticos inteligentes que respondem a uma corrente elétrica com um movimento mecânico. A oxidação e redução de um polímero condutor criam cargas positivas e/ou negativas no material, que são compensadas com a inserção ou expulsão de cátions ou ânions. Por exemplo, na figura os filmes escuros são de polipirrol e o filme branco é de um eletrólito polimérico contendo um sal inorgânico. Quando o polipirrol sofre oxidação, há a inserção de ânions para compensar a carga positiva no polímero e o filme se expande. Na outra face do dispositivo o filme de polipirrol sofre redução, expulsando ânions, e o filme se contrai. Pela montagem, em sanduíche, o sistema todo se movimenta de forma harmônica, conforme mostrado na figura. A camada central de eletrólito polimérico é importante porque","A: absorve a irradiação de partículas carregadas, emitidas pelo aquecimento elétrico dos filmes de polipirrol.; B: permite a difusão dos íons promovida pela aplicação de diferença de potencial, fechando o circuito elétrico.; C: mantém um gradiente térmico no material para promover a dilatação/contração térmica de cada filme de polipirrol.; D: permite a condução de elétrons livres, promovida pela aplicação de diferença de potencial, gerando corrente elétrica.; E: promove a polarização das moléculas poliméricas, o que resulta no movimento gerado pela aplicação de diferença de potencial.",B,0.05,2013,"permite a difusão dos íons promovida pela aplicação de diferença de potencial, fechando o circuito elétrico.","absorve a irradiação de partículas carregadas, emitidas pelo aquecimento elétrico dos filmes de polipirrol.; mantém um gradiente térmico no material para promover a dilatação/contração térmica de cada filme de polipirrol.; permite a condução de elétrons livres, promovida pela aplicação de diferença de potencial, gerando corrente elétrica.; promove a polarização das moléculas poliméricas, o que resulta no movimento gerado pela aplicação de diferença de potencial.",músculos artificiais dispositivos feitos plásticos inteligentes respondem corrente elétrica movimento mecânico oxidação redução polímero condutor criam cargas positivas negativas material compensadas inserção expulsão cátions ânions exemplo figura filmes escuros polipirrol filme branco eletrólito polimérico contendo sal inorgânico polipirrol sofre oxidação inserção ânions compensar carga positiva polímero filme expande outra face dispositivo filme polipirrol sofre redução expulsando ânions filme contrai montagem sanduíche sistema todo movimenta forma harmônica conforme mostrado figura camada central eletrólito polimérico importante porque,permite difusão íons promovida aplicação diferença potencial fechando circuito elétrico,absorve irradiação partículas carregadas emitidas aquecimento elétrico filmes polipirrol mantém gradiente térmico material promover dilatação contração térmica cada filme polipirrol permite condução elétrons livres promovida aplicação diferença potencial gerando corrente elétrica promove polarização moléculas poliméricas resulta movimento gerado aplicação diferença potencial,2.652
48,"Em um experimento foram utilizadas duas garrafas PET, uma pintada de branco e a outra de preto, acopladas cada uma a um termômetro. No ponto médio da distância entre as garrafas, foi mantida acesa, durante alguns minutos, uma lâmpada incandescente. Em seguida a lâmpada foi desligada. Durante o experimento, foram monitoradas as temperaturas das garrafas: a) enquanto a lâmpada permaneceu acesa e b) após a lâmpada ser desligada e atingirem equilíbrio térmico com o ambiente. A taxa de variação da temperatura da garrafa preta, em comparação à da branca, durante todo experimento, foi",A: igual no aquecimento e igual no resfriamento.; B: maior no aquecimento e igual no resfriamento.; C: menor no aquecimento e igual no resfriamento.; D: maior no aquecimento e menor no resfriamento.; E: maior no aquecimento e maior no resfriamento.,E,0.05,2013,maior no aquecimento e maior no resfriamento.,igual no aquecimento e igual no resfriamento.; maior no aquecimento e igual no resfriamento.; menor no aquecimento e igual no resfriamento.; maior no aquecimento e menor no resfriamento.,experimento utilizadas duas garrafas pet pintada branco outra preto acopladas cada termômetro ponto médio distância garrafas mantida acesa durante alguns minutos lâmpada incandescente seguida lâmpada desligada durante experimento monitoradas temperaturas garrafas enquanto lâmpada permaneceu acesa b após lâmpada desligada atingirem equilíbrio térmico ambiente taxa variação temperatura garrafa preta comparação branca durante todo experimento,maior aquecimento maior resfriamento,igual aquecimento igual resfriamento maior aquecimento igual resfriamento menor aquecimento igual resfriamento maior aquecimento menor resfriamento,2.0771
50,"Milhares de pessoas estavam morrendo de varíola humana no final do século XVIII. Em 1796, o médico Edward Jenner (1749-1823) inoculou em um menino de 8 anos o pus extraído de feridas de vacas contaminadas com o vírus da varíola bovina, que causa uma doença branda em humanos. O garoto contraiu uma infecção benigna e, dez dias depois, estava recuperado. Meses depois, Jenner inoculou, no mesmo menino, o pus varioloso humano, que causava muitas mortes. O menino não adoeceu. Considerando o resultado do experimento, qual a contribuição desse médico para a saúde humana?",A: A prevenção de diversas doenças infectocontagiosas em todo o mundo.; B: A compreensão de que vírus podem se multiplicar em matéria orgânica.; C: O tratamento para muitas enfermidades que acometem milhões de pessoas.; D: O estabelecimento da ética na utilização de crianças em modelos experimentais.; E: A explicação de que alguns vírus de animais podem ser transmitidos para os humanos.,A,0.14,2013,A prevenção de diversas doenças infectocontagiosas em todo o mundo.,A compreensão de que vírus podem se multiplicar em matéria orgânica.; O tratamento para muitas enfermidades que acometem milhões de pessoas.; O estabelecimento da ética na utilização de crianças em modelos experimentais.; A explicação de que alguns vírus de animais podem ser transmitidos para os humanos.,milhares pessoas morrendo varíola humana final século xviii médico edward jenner inoculou menino anos pus extraído feridas vacas contaminadas vírus varíola bovina causa doença branda humanos garoto contraiu infecção benigna dez dias recuperado meses jenner inoculou menino pus varioloso humano causava muitas mortes menino adoeceu considerando resultado experimento contribuição desse médico saúde humana,prevenção diversas doenças infectocontagiosas todo mundo,compreensão vírus podem multiplicar matéria orgânica tratamento muitas enfermidades acometem milhões pessoas estabelecimento ética utilização crianças modelos experimentais explicação alguns vírus animais podem transmitidos humanos,0.5244
51,"Química Verde pode ser definida como a criação, o desenvolvimento e a aplicação de produtos e processos químicos para reduzir ou eliminar o uso e a geração de substâncias nocivas à saúde humana e ao ambiente. Sabe-se que algumas fontes energéticas desenvolvidas pelo homem exercem, ou têm potencial para exercer, em algum nível, impactos ambientais negativos. À luz da Química Verde, métodos devem ser desenvolvidos para eliminar ou reduzir a poluição do ar causada especialmente pelas",A: hidrelétricas.; B: termelétricas.; C: usinas geotérmicas.; D: fontes de energia solar.; E: fontes de energia eólica,B,0.07,2013,termelétricas.,hidrelétricas.; usinas geotérmicas.; fontes de energia solar.; fontes de energia eólica,química verde pode definida criação desenvolvimento aplicação produtos processos químicos reduzir eliminar uso geração substâncias nocivas saúde humana ambiente sabe algumas fontes energéticas desenvolvidas homem exercem têm potencial exercer algum nível impactos ambientais negativos luz química verde métodos devem desenvolvidos eliminar reduzir poluição ar causada especialmente,termelétricas,hidrelétricas usinas geotérmicas fontes energia solar fontes energia eólica,0.5114
52,"Em viagens de avião, é solicitado aos passageiros o desligamento de todos os aparelhos cujo funcionamento envolva a emissão ou a recepção de ondas eletromagnéticas. O procedimento é utilizado para eliminar fontes de radiação que possam interferir nas comunicações via rádio dos pilotos com a torre de controle. A propriedade das ondas emitidas que justifica o procedimento adotado é o fato de",A: terem fases opostas.; B: serem ambas audíveis.; C: terem intensidades inversas.; D: serem de mesma amplitude.; E: terem frequências próximas.,E,0.18,2013,terem frequências próximas.,terem fases opostas.; serem ambas audíveis.; terem intensidades inversas.; serem de mesma amplitude.,viagens avião solicitado passageiros desligamento todos aparelhos cujo funcionamento envolva emissão recepção ondas eletromagnéticas procedimento utilizado eliminar fontes radiação possam interferir comunicações via rádio pilotos torre controle propriedade ondas emitidas justifica procedimento adotado fato,terem frequências próximas,terem fases opostas serem ambas audíveis terem intensidades inversas serem mesma amplitude,-0.3633
53,"As serpentes que habitam regiões de seca podem ficar em jejum por um longo período de tempo devido à escassez de alimento. Assim, a sobrevivência desses predadores está relacionada ao aproveitamento máximo dos nutrientes obtidos com a presa capturada. De acordo com essa situação, essas serpentes apresentam alterações morfológicas e fisiológicas, como o aumento das vilosidades intestinais e a intensificação da irrigação sanguínea na porção interna dessas estruturas. A função do aumento das vilosidades intestinais para essas serpentes é maximizar o(a)",A: comprimento do trato gastrointestinal para caber mais alimento.; B: área de contato com o conteúdo intestinal para absorção dos nutrientes.; C: liberação de calor via irrigação sanguínea para controle térmico do sistema digestório.; D: secreção de enzimas digestivas para aumentar a degradação proteica no estômago.; E: processo de digestão para diminuir o tempo de permanência do alimento no intestino.,B,0.11,2013,área de contato com o conteúdo intestinal para absorção dos nutrientes.,comprimento do trato gastrointestinal para caber mais alimento.; liberação de calor via irrigação sanguínea para controle térmico do sistema digestório.; secreção de enzimas digestivas para aumentar a degradação proteica no estômago.; processo de digestão para diminuir o tempo de permanência do alimento no intestino.,serpentes habitam regiões seca podem ficar jejum longo período tempo devido escassez alimento assim sobrevivência desses predadores relacionada aproveitamento máximo nutrientes obtidos presa capturada acordo situação serpentes apresentam alterações morfológicas fisiológicas aumento vilosidades intestinais intensificação irrigação sanguínea porção interna dessas estruturas função aumento vilosidades intestinais serpentes maximizar,área contato conteúdo intestinal absorção nutrientes,comprimento trato gastrointestinal caber alimento liberação calor via irrigação sanguínea controle térmico sistema digestório secreção enzimas digestivas aumentar degradação proteica estômago processo digestão diminuir tempo permanência alimento intestino,0.5373
54,"O uso de embalagens plásticas descartáveis vem crescendo em todo o mundo, juntamente com o problema ambiental gerado por seu descarte inapropriado. O politereftalato de etileno (PET), cuja estrutura é mostrada, tem sido muito utilizado na indústria de refrigerantes e pode ser reciclado e reutilizado. Uma das opções possíveis envolve a produção de matérias-primas, como o etilenoglicol (1,2-etanodiol), a partir de objetos compostos de PET pós-consumo. Com base nas informações do texto, uma alternativa para a obtenção de etilenoglicol a partir do PET é a",A: solubilização dos objetos.; B: combustão dos objetos.; C: trituração dos objetos.; D: hidrólise dos objetos.; E: fusão dos objetos.,D,0.09,2013,hidrólise dos objetos.,solubilização dos objetos.; combustão dos objetos.; trituração dos objetos.; fusão dos objetos.,uso embalagens plásticas descartáveis vem crescendo todo mundo juntamente problema ambiental gerado descarte inapropriado politereftalato etileno pet cuja estrutura mostrada sido utilizado indústria refrigerantes pode reciclado reutilizado opções possíveis envolve produção matérias primas etilenoglicol etanodiol partir objetos compostos pet pós consumo base informações texto alternativa obtenção etilenoglicol partir pet,hidrólise objetos,solubilização objetos combustão objetos trituração objetos fusão objetos,1.5675
56,"A imagem representa uma ilustração retirada do livro De Motu Cordis, de autoria do médico inglês Willian Harvey, que fez importantes contribuições para o entendimento do processo de circulação do sangue no corpo humano. No experimento ilustrado, Harvey, após aplicar um torniquete (A) no braço de um voluntário e esperar alguns vasos incharem, pressionava-os em um ponto (H). Mantendo o ponto pressionado, deslocava o conteúdo de sangue em direção ao cotovelo, percebendo que um trecho do vaso sanguíneo permanecia vazio após esse processo (H-O). A demonstração de Harvey permite estabelecer a relação entre circulação sanguínea e",A: pressão arterial.; B: válvulas venosas.; C: circulação linfática.; D: contração cardíaca.; E: transporte de gases.,B,0.05,2013,válvulas venosas.,pressão arterial.; circulação linfática.; contração cardíaca.; transporte de gases.,imagem representa ilustração retirada livro motu cordis autoria médico inglês willian harvey fez importantes contribuições entendimento processo circulação sangue corpo humano experimento ilustrado harvey após aplicar torniquete braço voluntário esperar alguns vasos incharem pressionava ponto h mantendo ponto pressionado deslocava conteúdo sangue direção cotovelo percebendo trecho vaso sanguíneo permanecia vazio após processo h demonstração harvey permite estabelecer relação circulação sanguínea,válvulas venosas,pressão arterial circulação linfática contração cardíaca transporte gases,2.1622
57,"Para realizar um experimento com uma garrafa PET cheia d´água, perfurou-se a lateral da garrafa em três posições a diferentes alturas. Com a garrafa tampada, a água não vazou por nenhum dos orifícios, e, com a garrafa destampada, observou-se o escoamento da água conforme ilustrado na figura. Como a pressão atmosférica interfere no escoamento da água, nas situações com a garrafa tampada e destampada, respectivamente?","A: Impede a saída de água, por ser maior que a pressão interna; B: Impede a saída de água, por ser maior que a pressão interna; C: Impede a entrada de ar, por ser menor que a pressão interna; D: Impede a saída de água, por ser maior que a pressão interna; E: Impede a entrada de ar, por ser menor que a pressão interna",A,0.04,2013,"Impede a saída de água, por ser maior que a pressão interna","Impede a saída de água, por ser maior que a pressão interna; Impede a entrada de ar, por ser menor que a pressão interna; Impede a saída de água, por ser maior que a pressão interna; Impede a entrada de ar, por ser menor que a pressão interna",realizar experimento garrafa pet cheia d água perfurou lateral garrafa três posições diferentes alturas garrafa tampada água vazou nenhum orifícios garrafa destampada observou escoamento água conforme ilustrado figura pressão atmosférica interfere escoamento água situações garrafa tampada destampada respectivamente,impede saída água maior pressão interna,impede saída água maior pressão interna impede entrada ar menor pressão interna impede saída água maior pressão interna impede entrada ar menor pressão interna,2.0489
59,"Plantas terrestres que ainda estão em fase de crescimento fixam grandes quantidades de CO2, utilizando-o para formar novas moléculas orgânicas, e liberam grande quantidade de O2. No entanto, em florestas maduras, cujas árvores já atingiram o equilíbrio, o consumo de O2 pela respiração tende a igualar sua produção pela fotossíntese. A morte natural de árvores nessas florestas afeta temporariamente a concentração de O2 e de CO2 próximo à superfície do solo onde elas caíram. A concentração de O2 próximo ao solo, no local da queda, será","A: menor, pois haverá consumo de O2 durante a decomposição dessas árvores.; B: maior, pois haverá economia de O2 pela ausência das árvores mortas.; C: maior, pois haverá liberação de O2 durante a fotossíntese das árvores jovens.; D: igual, pois haverá consumo e produção de O2 pelas árvores maduras restantes.; E: menor, pois haverá redução de O2 pela falta da fotossíntese realizada pelas árvores mortas.",A,0.04,2013,"menor, pois haverá consumo de O2 durante a decomposição dessas árvores.","maior, pois haverá economia de O2 pela ausência das árvores mortas.; maior, pois haverá liberação de O2 durante a fotossíntese das árvores jovens.; igual, pois haverá consumo e produção de O2 pelas árvores maduras restantes.; menor, pois haverá redução de O2 pela falta da fotossíntese realizada pelas árvores mortas.",plantas terrestres ainda fase crescimento fixam grandes quantidades utilizando formar novas moléculas orgânicas liberam grande quantidade entanto florestas maduras cujas árvores atingiram equilíbrio consumo respiração tende igualar produção fotossíntese morte natural árvores nessas florestas afeta temporariamente concentração próximo superfície solo onde caíram concentração próximo solo local queda,menor pois haverá consumo durante decomposição dessas árvores,maior pois haverá economia ausência árvores mortas maior pois haverá liberação durante fotossíntese árvores jovens igual pois haverá consumo produção árvores maduras restantes menor pois haverá redução falta fotossíntese realizada árvores mortas,1.5516
60,"As fêmeas de algumas espécies de aranhas, escorpiões e de outros invertebrados predam os machos após a cópula e inseminação. Como exemplo, fêmeas canibais do inseto conhecido como louva-a-deus, Tenodera aridofolia, possuem até 63% da sua dieta composta por machos parceiros. Para as fêmeas, o canibalismo sexual pode assegurar a obtenção de nutrientes importantes na reprodução. Com esse incremento na dieta, elas geralmente produzem maior quantidade de ovos. Apesar de ser um comportamento aparentemente desvantajoso para os machos, o canibalismo sexual evoluiu nesses táxons animais porque",A: promove a maior ocupação de diferentes nichos ecológicos pela espécie.; B: favorece o sucesso reprodutivo individual de ambos os parentais.; C: impossibilita a transmissão de genes do macho para a prole.; D: impede a sobrevivência e reprodução futura do macho.; E: reduz a variabilidade genética da população.,B,0.15,2013,favorece o sucesso reprodutivo individual de ambos os parentais.,promove a maior ocupação de diferentes nichos ecológicos pela espécie.; impossibilita a transmissão de genes do macho para a prole.; impede a sobrevivência e reprodução futura do macho.; reduz a variabilidade genética da população.,fêmeas algumas espécies aranhas escorpiões outros invertebrados predam machos após cópula inseminação exemplo fêmeas canibais inseto conhecido louva deus tenodera aridofolia possuem dieta composta machos parceiros fêmeas canibalismo sexual pode assegurar obtenção nutrientes importantes reprodução incremento dieta geralmente produzem maior quantidade ovos apesar comportamento aparentemente desvantajoso machos canibalismo sexual evoluiu nesses táxons animais porque,favorece sucesso reprodutivo individual ambos parentais,promove maior ocupação diferentes nichos ecológicos espécie impossibilita transmissão genes macho prole impede sobrevivência reprodução futura macho reduz variabilidade genética população,0.8017
